	CDKN1C	FERMT3	C2CD2L	HPS4	DHX30	LINC00671	KIAA0226	CXCR2P1	CTDP1	FEM1B	ATG4D	CTSD	EHBP1L1	AGFG1	Class
G101	0.531338934	-0.225222565	0.985765342	0.639129783	-0.375665552	0.193078942	0.30645109	-0.04524281	0.686326889	-0.512201367	0.38886396	0.195494998	-0.487056059	1.048023641	NO
G102	-0.319436396	-0.457632005	0.06153806	0.256196218	-0.647239692	-0.101793726	0.001228938	-0.034444857	0.430752945	-0.399153166	0.988184796	-0.341601692	-0.709957989	0.108411384	NO
G103	0.846621657	0.202547492	0.7719461	0.074500056	-0.238632219	0.393253941	0.148019993	0.440949176	1.113846872	-0.148352593	0.917868406	0.636852476	0.393286729	0.352768308	NO
G104	-0.389486047	0.274953238	-0.493834267	-0.193424681	0.766945629	0.571729549	0.096213443	0.351906129	-0.109743796	0.062678881	0.267126895	0.60155551	0.044721422	-0.840067821	AE
G108	-0.058190239	-0.027855371	0.55077412	0.359500962	1.150212271	-0.517816128	-0.124626112	-0.095347542	0.352455918	-0.273312927	1.15337994	0.040962431	-0.14500938	0.265014304	NO
G109	0.406983476	-0.105792168	0.332318897	0.613181647	-0.221021278	0.481633491	-0.113465212	0.880954083	0.299646593	-0.222194493	0.892816328	-0.071662789	0.192833634	1.236994781	NO
G110	0.378248319	0.116422496	0.530484374	0.124272532	-0.191104976	-0.329010237	-0.088138476	0.010887272	0.582524456	-0.194739418	-0.394925204	0.434883421	0.137819685	1.49596363	NO
G111	-1.438550701	-0.537724467	0.16033886	-0.322586657	-0.316625654	0.121281842	-0.155567019	-0.805175452	-0.374962217	-0.28675398	1.341884142	-0.417574655	0.057957398	0.05306145	NO
G112	-0.927597821	-0.643884628	-0.378144164	-0.294666957	0.44753257	0.367086476	-0.360479201	-0.563090652	-0.158805499	-0.082669213	-0.604027063	-0.362140444	0.326297955	0.894631288	AE
G114	0.556975959	-0.428636353	0.90939604	0.228689403	-1.530270818	0.147329324	0.152926181	-0.319377031	0.280789237	-0.067487116	1.227341876	-0.336474738	-0.634282587	0.711973717	NO
G119	-0.457574323	-0.291133595	0.017078367	0.722606823	0.038948764	-0.033917961	-0.243043485	0.348341546	0.4551717	0.063594973	1.370686154	-0.188159223	-0.304224504	0.698951856	NO
G120	-1.492076666	-0.715662759	-0.246016535	1.139867116	-0.918446192	-0.705988287	-0.466750713	0.019789305	0.999930119	-0.552926251	0.734288973	-0.884387889	-0.666244083	0.915030996	NO
G126	-0.254215449	0.277094622	-1.069271302	1.09753657	-0.499476343	-0.567785208	-0.059035638	0.183630294	0.81771075	-0.838243398	-0.064906299	-0.464881229	0.26997106	-0.051830351	NO
G128	0.242757517	-0.360028932	0.401781222	-0.001921519	-2.16002946	-0.316613897	-0.326795898	-0.744353954	0.203412929	-0.234004684	1.266148074	-0.241886446	0.182335893	1.022122658	NO
G130	-1.229610794	0.383846532	0.069746537	-0.069321557	0.71881563	0.9855111	-0.013119291	0.385717847	0.101612437	0.126483191	0.020631006	0.147318698	0.416657782	-1.569847607	AE
G302	0.588988099	0.004763559	0.623265922	0.243872666	0.45253748	0.211555706	-0.422789868	-0.113068436	0.131386354	-0.136212303	1.071773432	-0.231931967	-0.057806763	1.026217889	NO
G303	-1.000132042	0.770774081	-0.264862962	-0.123110722	1.693945978	1.492060915	0.375462934	0.810412519	0.825606094	0.075516102	1.310487613	0.402434946	0.328006587	0.351735696	AE
G304	-0.46324112	-0.184475162	0.993940902	0.693883458	-1.422057841	0.010163007	-0.367972679	-0.252978882	0.50334782	-0.102777464	1.293983687	-0.156442038	-0.004751292	1.235113557	NO
G305	0.586819387	-0.29084283	0.815259162	0.659587427	0.023145411	0.31801343	-0.384847998	-0.584216646	0.350790585	-0.529447284	0.888924544	-0.266335851	-0.467466126	0.49299113	NO
G306	0.696788433	0.143677413	0.167248346	0.283725514	0.209746596	-0.360838715	0.415528363	0.268918378	0.241268563	-0.324532843	-1.006274188	0.205241984	0.075041636	-0.135593734	AE
G311	-0.041025008	0.066747817	1.008350963	0.12174434	-0.517520069	-0.057314695	-0.271609602	-0.077628015	0.354713275	-0.196264275	0.715437328	-0.089788315	-0.070297733	1.893200908	NO
G313	0.147630539	-0.292984502	0.392029589	0.063593647	-0.119395063	-0.027582795	-0.034641802	-0.263287746	0.581779275	-0.41128152	1.528099491	-0.386279688	-0.03191299	0.841514672	NO
G314	-0.504375609	-1.079732012	0.391570582	-0.322215577	-0.442676224	-1.472735534	-0.294648887	-0.313882544	0.840021546	-0.298690455	0.996371096	-0.53985212	-0.262069622	-0.944170685	NO
G315	-0.562124492	0.456217077	-0.397081568	-0.003382473	1.056855148	0.461543439	0.429691917	0.862766745	-0.177125257	0.16294884	-1.035632784	-0.049513902	0.556740734	0.347360279	AE
G317	0.525030096	-0.145276887	-0.385171639	0.172807816	0.366582222	-0.268726178	-0.510414785	-0.907466447	0.309996208	-0.001832776	0.060603443	-0.038090401	0.085456144	1.285380153	NO
G322	0.701473906	-0.441473067	0.61842396	0.83760122	0.445039565	-0.263526116	-0.146150441	-0.400584658	0.512403221	-0.318775187	-0.822641904	-0.360611554	-0.680604197	0.462148303	NO
G324	-1.385611241	0.2036173	-1.079836967	0.830927303	0.597181477	1.433033873	-0.013654121	0.128154647	-0.445407682	-0.625819572	-0.428921367	0.101494828	0.185185633	-1.17858606	AE
G332	-0.625579869	0.419991206	-0.06554603	-0.476907857	-0.174882446	0.922538885	0.00617301	0.50220413	0.608119083	0.027732987	-0.178952429	0.598038309	0.218487084	0.315953162	AE
G336	-1.025231431	0.608397306	-0.165155952	-0.622301438	1.563873976	0.436856983	0.394452852	0.253795731	-0.067417302	0.293559256	-0.332333337	0.286392932	0.267517706	-1.492275925	AE
G337	0.731424894	-0.435228764	0.525632689	0.604187403	0.194803136	0.766981179	-0.326687501	-0.22555297	0.597521536	-0.468494851	1.09228375	-0.17409295	-0.500348301	-0.773811748	NO
G347	-0.381897815	0.626624349	-1.06101552	0.737050294	-0.118243465	0.390370307	-0.505561997	0.070730325	0.151761872	-0.119050218	0.388757696	-0.227502246	0.522948382	-0.061219743	NO
G358	0.717885601	0.431115077	0.051354238	-0.327156791	0.910136146	0.559647982	-0.010590362	0.757466517	-0.032718719	0.232162487	1.068392228	0.397007474	0.342749107	-0.741920272	AE
